1 = alle 25 vuotta;1 = Omakotitalo;;1 = Ennen 70-lukua;;;1 = Öljyllä;;1 = Yksittäisten huoneiden pattereiden säätö;1 = Ympäri vuoden;1 = Päivittäin;1 = Päivittäin;1 = Kyllä;1 = Kyllä;1 = Lämpötila;;1 = 0–100€;1 = Alle vuosi
2 = 25–44 vuotta;2 = Kerrostalo;;2 = 70-luvulla;;;2 = Sähköllä;;2 = Huonekohtainen tuuletus/viilennys;2 = Kesällä;2 = Viikoittain;2 = Viikoittain;2 = En;2 = En;2 = Suhteellinen kosteus RH%;;2 = 101–500€;2 = 1–3 vuotta
3 = 45–64 vuotta;3 = Paritalo;;3 = 80-luvulla;;;3 = Lämpöpumpulla;;3 = Ei mahdollisuutta;3 = Talvella;3 = Kuukausittain;3 = Kuukausittain;;;3 = Hiilidioksidi CO2;;3 = 501–1000€;3 = 3–5 vuotta
4 = yli 65 vuotta;4 = Rivitalo;;4 = 90-luvulla tai sen jälkeen;;;4 = Kaukolämmöllä;;4 = En tiedä;4 = En juuri koskaan;4 = En koskaan;4 = En koskaan;;;4 = Muu;;4 = Yli 1000€;4 = Yli 5 vuotta
;5 = Muu;;5 = En tiedä;;;5 = Muulla tavalla;;;;;;;;5 = En ole kiinnostunut;;5 = En tiedä;5 = En osaa sanoa
;;;;;;6 = En tiedä;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Mihin ikäryhmään kuulut?;Millaisessa talossa asut?;Millaisessa talossa asut? (muu);Millä vuosikymmenellä talo, jossa asuntosi sijaitsee, on valmistunut?;Montako henkilöä asunnossasi asuu?;Mikä on asuinkuntasi?;Miten asuntoasi lämmitetään?;Miten asuntoasi lämmitetään? (muu);Onko asunnossasi mahdollisuus yksittäisten huoneiden lämmönsäätelyyn?;Seuraatko asuntosi sisälämpötilaa mittarin avulla?;Kuinka usein säädät asuntosi lämpötilaa?;Viilennätkö asuntoasi avaamalla ikkunoita?;Tiedätkö taloutesi vuotuisen vedenkulutuksen?;Oletko kiinnostunut seuraamaan asuntosi kulutuslukemia (vesi, öljy, sähkö, yms)?;Oletko kiinnostunut seuraamaan asuntosi sisäilman laatuun vaikuttavia tekijöitä, kuten hiilidioksidi, lämpötila, suhteellinen kosteus? Valitse yksi tai useampi vastausvaihtoehto.;Mitä muita sisäilman laatuun vaikuttavia tekijoitä olisit kiinnostunut seuraamaan?;Paljonko olisit itse valmis maksamaan lämmönsäätöjärjestelmän hankinnasta?;Mikä pitäisi olla lämmönsäätöjärjestelmän takaisinmaksuaika?
1;2;;2;2;Pori;4;;1,2;4;3;2;2;2;5;;5;5
1;2;;2;1;Pori;4;;3;1;4;3;2;1;1,2,3;;1;3
3;2;;2;1;Pori;4;;1;1;3;2;2;1;1;;5;5
3;2;;4;5;kerava;4;;1;4;3;3;2;2;1,2,3;;5;5
2;4;;4;1;Pori;2;;1;4;2;4;2;1;1,2;;1;5
1;2;;3;2;Pori;4;;1;4;3;4;2;1;1,2,3;;5;5
1;2;;1;1;Pori;2;;1;3;2;4;2;1;1,2;;1;2
1;1;;5;4;Ulbila;5;Ilmavesilämpöpumppu;1,2;1;3;3;2;1;5;;1;1
1;3;;1;2;Pori;2,3;;1,2;4;1;3;2;1;5;;1;1
2;4;;4;2;Pori;4;;1;4;3;2;2;1;1,2;;2;2
2;2;;4;1;Tampere;4;;3;4;4;3;2;1;1,2;;1;2
2;2;;5;1;Pori;6;;4;4;4;4;2;1;1,2,3;;1;5
2;4;;1;1;Pori;4;;1;4;3;2;2;1;1;;1;5
4;2;;3;2;Pori;4;;2;4;4;1;2;2;4;;;
4;2;;3;2;Pori;4;;1;1;3;1;1;2;1,2;;1;5
4;2;;3;2;Pori;4;;1;4;4;4;2;1;1;;5;5
4;2;;3;2;Pori;4;;1;1;2;1;2;1;1;;5;5
4;2;;3;2;Pori;4;;1,2;1;1;1;1;1;1;;5;2
3;2;;3;3;Pori;4;;1,2;1;3;2;2;1;1;;1;2
1;2;;4;1;Pori;6;;1;3;3;3;2;2;5;;3;3
1;2;;2;2;Pori;6;;1;4;4;4;2;2;5;;4;4
1;2;;1;1;Pori;6;;1;2;4;3;1;1;1,2,3;;5;5
1;2;;4;1;Pori, sastamala;2;;1,3;3;2;3;2;2;5;;1;1
1;1;;4;1;Kauniainen;1;;;;;;;;;;;
1;2;;4;1;Pori;6;;2;1;3;3;2;1;1,2,3;;5;5
2;1;;4;4;Pori;5;maalämpö;1,2;4;4;4;1;1;1,2,3;;5;2,3
3;1;;4;3;Pori;5;maalämpö;1;4;4;3;2;2;5;;5;5
2;2;;4;1;Pori;4;;1,2;1;3;2;2;1;1,2,3;;5;3
1;2;;4;2;Pori;4;;1;4;3;2;2;2;5;;5;5
1;2;;4;2;Pori;4;;1;4;3;2;1;1;1,2,3;;2;4
1;2;;3;1;Pori;4;;3;2;3;3;2;2;1,3;;1;2
1;2;;1;2;Pori;2;;1;4;4;2;2;1;1,2;;1;1
1;2;;2;1;Pori;4;;4;4;4;2;2;1;1,3;;2;3
1;2;;4;1;Pori;;;1;1;3;2;2;2;5;;5;1
1;2;;2;1;Pori;4;;1;1;3;4;1;2;1;;1;2
1;2;;2;1;Pori;2;;1;1;4;3;1;2;5;;5;5
2;1;;3;4;Pori;4;;1;4;4;2;2;2;5;;5;1
1;1;;3;3;Pori;4;;2;4;4;1;2;2;5;;5;5
2;1;;3;3;Pori;2,5;puilla;1,2;1;2;1;1;1;1,2,3;;2;2
2;2;;4;1;Vantaa;2;;1;4;4;3;1;1;5;;2;2
2;2;;4;1;Pori;4;;1;4;4;1;2;2;;;5;4
2;2;;4;2;Pori;4;;1;1;3;3;2;1;1,3;;3;3
2;4;;4;4;Pori;3;;1;4;3;3;1;2;1,3;;3;3
2;4;;1;1;Pori;2,5;puilla;3;4;3;4;2;2;5;;5;5
2;1;;3;4;Pori;1;;1;4;4;1;2;2;5;;4;3
1;2;;4;2;Pori;4;;1;4;3;3;2;1;1,3;;3;2
1;2;;4;1;Pori;2;;1;4;4;;;;;;;
1;2;;1;3;Pori;2;;1;4;4;2;2;2;5;;5;3
2;2;;1;1;Pori;6;;3;4;4;3;2;1;1,2,3;;5;5
2;5;puutalo osake;1;2;Pori;2;;1;1;3;3;2;2;1,2,3;;4;2
2;4;;4;1,2,3;Ulvila;2,3;;1;1;2;;1;1;5;;3;2
2;2;;5;3;Pori;;;3;4;4;3;2;1;1,2,3;;1;2
1;2;;4;2;Pori;2;;1;1;3;1;1;1;1,2,3;;1;3
1;4;;3;2;Pori;4;;1;4;4;3;2;1;5;;3;3
2;2;;1;1;Pori;4;;1;2;4;1;2;1;1,3;;5;5
1;2;;5;2;Pori;6;;1;1;3;3;2;2;5;;5;5
1;3;;1;1;Pori;2;;1;1;2;4;2;1;1,3;;5;5
1;2;;3;2;Ulvila;4;;1,2;1;2;;2;1;1,2,3;;5;5
1;2;;4;1;Pori;4;;1,2;1;2;2;1;1;1,3;;2;5
2;2;;3;2;satakunta;4;;1;1;3;2;2;2;3;;5;2
3;2;;4;1;Pori;4;;1;1;3;3;1;1;1,5;;2;2
4;2;;4;1;Pori;4;;1;4;4;3;2;2;1,3;;5;5
3;2;;3;4;Pori;4;;1;1;3;4;2;1;1;;5;3
4;2;;3;1;Pori;4;;1;1;3;1;1;1;3;;5;5
4;2;;3;1;Pori;4;;1;2;4;3;2;1;3;;5;3
4;2;;3;2;Pori;4;;1;4;4;2;2;1;2,3;;3;5
4;2;;4;1;Pori;4;;1;1;3;;2;2;5;;5;5
4;2;;4;2;Pori;4;;1,2;4;4;4;2;2;5,4;liesituulettimen jaksotus;1;3
4;2;;3;1;Pori;4;;1;4;2;1;2;2;5;;5;5
4;2;;3;2;Pori;4;;1;4;3;;1;1;4;ikkuna avataan aamuisin;1;5
4;2;;3;1;Pori;4;;4;1;4;1;2;2;1;;3;5
4;2;;3;1;Pori;4;;1,2;1;3;1;1;1;1,3;;2;3
4;2;;3;2;Pori;4;;1,2;1;3;1;1;2;1;;2;1
3;2;;3;1;Pori;4;;2;4;3;;2;1;5;;5;5
2;2;;1;1;Pori;4;;1,2;1;3;4;1;1;1;;4;2
4;2;;1;2;;4;;4;4;4;4;1;1;1;;5;3
4;2;;1;1;Pori;4;;1;1;2;4;1;1;5;;5;5
2;2;;5;2;Satakunta;4;;1;4;4;4;2;1;1,2,3;;1;1
3;2;;1;1;Pori;4;;1;1;4;4;1;1;1;;5;5
4;1,2;;1,3;2;Pori;1,2,3,4;;1,2;1;3;1;1;1;1,3;;;
4;2;;1;2;Pori;4;;1;1;1;1;1;1;1,3;;;
4;2;;1;1;Pori;4;;1;1;3;1;1;1;5;;5;5
2;2;;1;3;Pori;4;;1;1;3;3;1;1;1,2,3;;1;3
2;2;;1;3;Pori;6;;1,3;4;4;4;1;2;1;;1;5
4;2;;1;1;Pori;4;;1;1;4;2;1;1;5;;;
3;2;;1;2;Pori;4;;1;4;3;3;1;1;5;;5;5
4;2;;1;2;Pori;4;;1;1;3;3;1;1;1,4;;5;4
4;2;;1;2;Pori;4;;1;1;;4;1;1;1;;5;1
4;2;;1;2;Pori;4;;1,2;2, 3;3;4;1;1;1,2;;5;5
4;2;;1;1;Pori;4;;1;1;4;3;1;1;5;;;
4;2;;1;1;Pori;4;;1;4;4;;1;1;5;;5;5
3;2;;1;1;Pori;4;;1;1;4;2;1;1;1;;1;4
4;2;;1;1;Pori;4;;1;1;4;1;2;2;5;;5;5
4;2;;1;2;Pori;4;;1;1;4;4;1;1;1;;5;5
4;2;;1;2;Pori;4;;1;3;;1;2;1;1;;5;5
2;2;;1;2;Pori;4;;1,2;1;3;2;2;1;1,2,3;;1;2
2;2;;1;1;Satakunta;4;;1;4;4;3;2;2;5;;5;5
2;2;;1;1;Pori;4;;1;2;4;1;1;1;1;;3;2
4;2;;1;1;Pori;4;;1;1;4;;1;2;1;;5;5
4;2;;1;2;Pori;4;;1;1;3;1;1;1;1;;5;5
4;2;;2;1;Pori;4;;1,2;4;4;3;1;1;5;;5;5
1;2;;2;2;Pori;4;;1;4;2;4;2;2;1;;1;5
3;2;;2;2;Pori;4;;1;4;3;3;2;1;5;;1;4
3;2;;2;1;Pori;4;;1;1;4;4;2;1;1,3;;5;5
4;2;;2;1;Pori;4;;1;4;4;4;1;1;5;;2;3
4;2;;2;2;Pori;4;;1;1;4;4;2;1;1,3;;3;2
4;2;;2;1;Pori;4;;1;3;2;1;2;1;1,2,3; ;5;5
4;2;;2;2;Pori;4;;1;1;4;4;2;1;1;;5;5
4;2;;2;2;Pori;4;;4;4;4;4;2;2;5;;5;4
2;2;;2;3;Pori;4;;1;1;4;;2;2;5;;1;2
4;2;;2;2;Pori;4;;1;1;4;4;1;1;1;;1;1
4;2;;;1;Pori;4;;1;3;;;1;1;1;;5;5
4;2;;2;2;Pori;4;;1;1;3;3;2;1;1,3;;2;3
4;2;;2;2;Pori;4;;1,2;1;3;;2;1;1,3;;;3
2;2;;2;1;Pori;4;;1;4;3;3;2;1;1;;3;2
4;2;;2;1;Pori;4;;1;3;3;4;2;2;1;;1;
3;2;;2;2;Pori;4;;1;3;4;4;2;1;1,2,3,4;radon;5;1
3;2;;2;2;Pori;4;;1;1;3;;2;1;1,2,3;;3;3
4;2;;2;1;Pori;4;;;3;4;1;2;1;1,3;;5;3
4;2;;2;1;;4;;1,2;4;4;1;2;2;;;;
4;2;;2;2;Pori;4;;1;3;4;4;1;1;1,2,3;;2;3
3;2;;3;1;Pori;4;;2;4;1;1;2;1;1;;1;5
3;2;;2;1;Pori;4;;1;1;4;4;2;1;1;;4;4
4;2;;2;1;Pori;4;;1;4;4;1;2;2;5;;1;1
4;2;;2;1;Pori;4;;1;1;;1;2;2;5;;;5
4;2;;2;2;Pori;4;;3;1;;;2;1;1,2,3;;1;1
4;2;;2;1;Pori;4;;1;1;4;4;2;;1;;5;5
3;2;;2;1;Pori;4;;1;4;3;3;;2;1;;3;2
4;2;;2;2;Pori;4,5;aurinkopaneelit;1;1;4;;2;2;1;;5;5
4;2;;2;1;Pori;4,5;hybridi;1;1;3;4;2;1;1,3;;5;5
4;2;;2;2;Pori;4;;1;1;1;4;1;1;1,3;;5;5
4;2;;2;2;Pori;4,5;lämmön  talteenottojärjestelmä;1;3;3;4;2;1;1,2,3;;5;5
3;2;;2;2;Pori;4,5;hybridi;1;1;4;2;2;1;2,3;;3;4
4;2;;2;2;Pori;4;;1,2;3;3;4;2;1;1,3;;5;5
4;2;;2;1;Pori;4;;1;1;3;1;2;1;5;;2;3
3;2;;2;2;Pori;4;;1,2;1;2;2;2;1;1,3;;3;2
3;2;;2;1;Pori;4;;1;4;3;2;2;1;1,2,3;;5;5
4;2;;2;2;Pori;4;;3;1;4;4;2;1;5;;5;5
4;2;;2;1;Pori;4;;1,2;3;1;1;2;2;1;;5;5
4;2;;2;2;Pori;4,5;aurinkokennoilla;1;1;3;4;2;1;3;;3;4
4;2;;2;1;Pori;4;;1;4;2;1;2;2;5;;5;5
4;1,2;;1,2;1;Siikainen;2,4,5;puu;1;1;4;4;1;1;1,3;;1;4
